,YEAR_invest,YEAR_invest,TECHNOLOGIES,AREA,capacityDel_Pvar
0,2040,2040,Offshore wind - floating,Marseille,0.0
1,2040,2040,Offshore wind - floating,Nice,0.0
2,2040,2040,Offshore wind - floating,Alpin,0.0
3,2040,2040,ElectrolysisM,Marseille,0.0
4,2040,2040,ElectrolysisM,Nice,0.0
5,2040,2040,ElectrolysisM,Alpin,0.0
6,2040,2040,CCS2,Marseille,0.0
7,2040,2040,CCS2,Nice,0.0
8,2040,2040,CCS2,Alpin,0.0
9,2040,2040,Ground PV,Marseille,0.0
10,2040,2040,Ground PV,Nice,0.0
11,2040,2040,Ground PV,Alpin,0.0
12,2040,2040,SMR,Marseille,0.0
13,2040,2040,SMR,Nice,0.0
14,2040,2040,SMR,Alpin,0.0
15,2040,2040,SMR + CCS1,Marseille,0.0
16,2040,2040,SMR + CCS1,Nice,0.0
17,2040,2040,SMR + CCS1,Alpin,0.0
18,2040,2040,CCS1,Marseille,0.0
19,2040,2040,CCS1,Nice,0.0
20,2040,2040,CCS1,Alpin,0.0
21,2040,2040,ElectrolysisS,Marseille,0.0
22,2040,2040,ElectrolysisS,Nice,0.0
23,2040,2040,ElectrolysisS,Alpin,0.0
24,2040,2040,Existing SMR,Marseille,0.0
25,2040,2040,Existing SMR,Nice,0.0
26,2040,2040,Existing SMR,Alpin,0.0
27,2040,2040,ElectrolysisL,Marseille,0.0
28,2040,2040,ElectrolysisL,Nice,0.0
29,2040,2040,ElectrolysisL,Alpin,0.0
30,2040,2040,SMR + CCS2,Marseille,0.0
31,2040,2040,SMR + CCS2,Nice,0.0
32,2040,2040,SMR + CCS2,Alpin,0.0
33,2040,2040,Onshore wind,Marseille,0.0
34,2040,2040,Onshore wind,Nice,0.0
35,2040,2040,Onshore wind,Alpin,0.0
36,2040,2020,Offshore wind - floating,Marseille,0.0
37,2040,2020,Offshore wind - floating,Nice,0.0
38,2040,2020,Offshore wind - floating,Alpin,0.0
39,2040,2020,ElectrolysisM,Marseille,0.0
40,2040,2020,ElectrolysisM,Nice,0.0
41,2040,2020,ElectrolysisM,Alpin,0.0
42,2040,2020,CCS2,Marseille,0.0
43,2040,2020,CCS2,Nice,0.0
44,2040,2020,CCS2,Alpin,0.0
45,2040,2020,Ground PV,Marseille,0.0
46,2040,2020,Ground PV,Nice,0.0
47,2040,2020,Ground PV,Alpin,0.0
48,2040,2020,SMR,Marseille,0.0
49,2040,2020,SMR,Nice,0.0
50,2040,2020,SMR,Alpin,0.0
51,2040,2020,SMR + CCS1,Marseille,0.0
52,2040,2020,SMR + CCS1,Nice,0.0
53,2040,2020,SMR + CCS1,Alpin,0.0
54,2040,2020,CCS1,Marseille,0.0
55,2040,2020,CCS1,Nice,0.0
56,2040,2020,CCS1,Alpin,0.0
57,2040,2020,ElectrolysisS,Marseille,0.0
58,2040,2020,ElectrolysisS,Nice,0.0
59,2040,2020,ElectrolysisS,Alpin,0.0
60,2040,2020,Existing SMR,Marseille,0.0
61,2040,2020,Existing SMR,Nice,0.0
62,2040,2020,Existing SMR,Alpin,0.0
63,2040,2020,ElectrolysisL,Marseille,0.0
64,2040,2020,ElectrolysisL,Nice,0.0
65,2040,2020,ElectrolysisL,Alpin,0.0
66,2040,2020,SMR + CCS2,Marseille,0.0
67,2040,2020,SMR + CCS2,Nice,0.0
68,2040,2020,SMR + CCS2,Alpin,0.0
69,2040,2020,Onshore wind,Marseille,0.0
70,2040,2020,Onshore wind,Nice,0.0
71,2040,2020,Onshore wind,Alpin,0.0
72,2040,2030,Offshore wind - floating,Marseille,0.0
73,2040,2030,Offshore wind - floating,Nice,0.0
74,2040,2030,Offshore wind - floating,Alpin,0.0
75,2040,2030,ElectrolysisM,Marseille,0.0
76,2040,2030,ElectrolysisM,Nice,0.0
77,2040,2030,ElectrolysisM,Alpin,0.0
78,2040,2030,CCS2,Marseille,0.0
79,2040,2030,CCS2,Nice,0.0
80,2040,2030,CCS2,Alpin,0.0
81,2040,2030,Ground PV,Marseille,0.0
82,2040,2030,Ground PV,Nice,0.0
83,2040,2030,Ground PV,Alpin,0.0
84,2040,2030,SMR,Marseille,0.0
85,2040,2030,SMR,Nice,0.0
86,2040,2030,SMR,Alpin,0.0
87,2040,2030,SMR + CCS1,Marseille,0.0
88,2040,2030,SMR + CCS1,Nice,0.0
89,2040,2030,SMR + CCS1,Alpin,0.0
90,2040,2030,CCS1,Marseille,0.0
91,2040,2030,CCS1,Nice,0.0
92,2040,2030,CCS1,Alpin,0.0
93,2040,2030,ElectrolysisS,Marseille,0.0
94,2040,2030,ElectrolysisS,Nice,0.0
95,2040,2030,ElectrolysisS,Alpin,0.0
96,2040,2030,Existing SMR,Marseille,0.0
97,2040,2030,Existing SMR,Nice,0.0
98,2040,2030,Existing SMR,Alpin,0.0
99,2040,2030,ElectrolysisL,Marseille,0.0
100,2040,2030,ElectrolysisL,Nice,0.0
101,2040,2030,ElectrolysisL,Alpin,0.0
102,2040,2030,SMR + CCS2,Marseille,0.0
103,2040,2030,SMR + CCS2,Nice,0.0
104,2040,2030,SMR + CCS2,Alpin,0.0
105,2040,2030,Onshore wind,Marseille,0.0
106,2040,2030,Onshore wind,Nice,0.0
107,2040,2030,Onshore wind,Alpin,0.0
108,2020,2040,Offshore wind - floating,Marseille,0.0
109,2020,2040,Offshore wind - floating,Nice,0.0
110,2020,2040,Offshore wind - floating,Alpin,0.0
111,2020,2040,ElectrolysisM,Marseille,0.0
112,2020,2040,ElectrolysisM,Nice,0.0
113,2020,2040,ElectrolysisM,Alpin,0.0
114,2020,2040,CCS2,Marseille,0.0
115,2020,2040,CCS2,Nice,0.0
116,2020,2040,CCS2,Alpin,0.0
117,2020,2040,Ground PV,Marseille,0.0
118,2020,2040,Ground PV,Nice,0.0
119,2020,2040,Ground PV,Alpin,0.0
120,2020,2040,SMR,Marseille,0.0
121,2020,2040,SMR,Nice,0.0
122,2020,2040,SMR,Alpin,0.0
123,2020,2040,SMR + CCS1,Marseille,0.0
124,2020,2040,SMR + CCS1,Nice,0.0
125,2020,2040,SMR + CCS1,Alpin,0.0
126,2020,2040,CCS1,Marseille,0.0
127,2020,2040,CCS1,Nice,0.0
128,2020,2040,CCS1,Alpin,0.0
129,2020,2040,ElectrolysisS,Marseille,0.0
130,2020,2040,ElectrolysisS,Nice,0.0
131,2020,2040,ElectrolysisS,Alpin,0.0
132,2020,2040,Existing SMR,Marseille,0.0
133,2020,2040,Existing SMR,Nice,0.0
134,2020,2040,Existing SMR,Alpin,0.0
135,2020,2040,ElectrolysisL,Marseille,9.0
136,2020,2040,ElectrolysisL,Nice,0.0
137,2020,2040,ElectrolysisL,Alpin,1.0
138,2020,2040,SMR + CCS2,Marseille,0.0
139,2020,2040,SMR + CCS2,Nice,0.0
140,2020,2040,SMR + CCS2,Alpin,0.0
141,2020,2040,Onshore wind,Marseille,0.0
142,2020,2040,Onshore wind,Nice,0.0
143,2020,2040,Onshore wind,Alpin,0.0
144,2020,2020,Offshore wind - floating,Marseille,0.0
145,2020,2020,Offshore wind - floating,Nice,0.0
146,2020,2020,Offshore wind - floating,Alpin,0.0
147,2020,2020,ElectrolysisM,Marseille,0.0
148,2020,2020,ElectrolysisM,Nice,0.0
149,2020,2020,ElectrolysisM,Alpin,0.0
150,2020,2020,CCS2,Marseille,0.0
151,2020,2020,CCS2,Nice,0.0
152,2020,2020,CCS2,Alpin,0.0
153,2020,2020,Ground PV,Marseille,0.0
154,2020,2020,Ground PV,Nice,0.0
155,2020,2020,Ground PV,Alpin,0.0
156,2020,2020,SMR,Marseille,0.0
157,2020,2020,SMR,Nice,0.0
158,2020,2020,SMR,Alpin,0.0
159,2020,2020,SMR + CCS1,Marseille,0.0
160,2020,2020,SMR + CCS1,Nice,0.0
161,2020,2020,SMR + CCS1,Alpin,0.0
162,2020,2020,CCS1,Marseille,0.0
163,2020,2020,CCS1,Nice,0.0
164,2020,2020,CCS1,Alpin,0.0
165,2020,2020,ElectrolysisS,Marseille,0.0
166,2020,2020,ElectrolysisS,Nice,0.0
167,2020,2020,ElectrolysisS,Alpin,0.0
168,2020,2020,Existing SMR,Marseille,0.0
169,2020,2020,Existing SMR,Nice,0.0
170,2020,2020,Existing SMR,Alpin,0.0
171,2020,2020,ElectrolysisL,Marseille,0.0
172,2020,2020,ElectrolysisL,Nice,0.0
173,2020,2020,ElectrolysisL,Alpin,0.0
174,2020,2020,SMR + CCS2,Marseille,0.0
175,2020,2020,SMR + CCS2,Nice,0.0
176,2020,2020,SMR + CCS2,Alpin,0.0
177,2020,2020,Onshore wind,Marseille,0.0
178,2020,2020,Onshore wind,Nice,0.0
179,2020,2020,Onshore wind,Alpin,0.0
180,2020,2030,Offshore wind - floating,Marseille,0.0
181,2020,2030,Offshore wind - floating,Nice,0.0
182,2020,2030,Offshore wind - floating,Alpin,0.0
183,2020,2030,ElectrolysisM,Marseille,0.0
184,2020,2030,ElectrolysisM,Nice,0.0
185,2020,2030,ElectrolysisM,Alpin,0.0
186,2020,2030,CCS2,Marseille,0.0
187,2020,2030,CCS2,Nice,0.0
188,2020,2030,CCS2,Alpin,0.0
189,2020,2030,Ground PV,Marseille,0.0
190,2020,2030,Ground PV,Nice,0.0
191,2020,2030,Ground PV,Alpin,0.0
192,2020,2030,SMR,Marseille,0.0
193,2020,2030,SMR,Nice,0.0
194,2020,2030,SMR,Alpin,0.0
195,2020,2030,SMR + CCS1,Marseille,0.0
196,2020,2030,SMR + CCS1,Nice,0.0
197,2020,2030,SMR + CCS1,Alpin,0.0
198,2020,2030,CCS1,Marseille,0.0
199,2020,2030,CCS1,Nice,0.0
200,2020,2030,CCS1,Alpin,0.0
201,2020,2030,ElectrolysisS,Marseille,0.0
202,2020,2030,ElectrolysisS,Nice,0.0
203,2020,2030,ElectrolysisS,Alpin,0.0
204,2020,2030,Existing SMR,Marseille,0.0
205,2020,2030,Existing SMR,Nice,0.0
206,2020,2030,Existing SMR,Alpin,0.0
207,2020,2030,ElectrolysisL,Marseille,0.0
208,2020,2030,ElectrolysisL,Nice,0.0
209,2020,2030,ElectrolysisL,Alpin,0.0
210,2020,2030,SMR + CCS2,Marseille,0.0
211,2020,2030,SMR + CCS2,Nice,0.0
212,2020,2030,SMR + CCS2,Alpin,0.0
213,2020,2030,Onshore wind,Marseille,0.0
214,2020,2030,Onshore wind,Nice,0.0
215,2020,2030,Onshore wind,Alpin,0.0
216,2030,2040,Offshore wind - floating,Marseille,0.0
217,2030,2040,Offshore wind - floating,Nice,0.0
218,2030,2040,Offshore wind - floating,Alpin,0.0
219,2030,2040,ElectrolysisM,Marseille,0.0
220,2030,2040,ElectrolysisM,Nice,0.0
221,2030,2040,ElectrolysisM,Alpin,0.0
222,2030,2040,CCS2,Marseille,0.0
223,2030,2040,CCS2,Nice,0.0
224,2030,2040,CCS2,Alpin,0.0
225,2030,2040,Ground PV,Marseille,0.0
226,2030,2040,Ground PV,Nice,0.0
227,2030,2040,Ground PV,Alpin,0.0
228,2030,2040,SMR,Marseille,0.0
229,2030,2040,SMR,Nice,0.0
230,2030,2040,SMR,Alpin,0.0
231,2030,2040,SMR + CCS1,Marseille,0.0
232,2030,2040,SMR + CCS1,Nice,0.0
233,2030,2040,SMR + CCS1,Alpin,0.0
234,2030,2040,CCS1,Marseille,0.0
235,2030,2040,CCS1,Nice,0.0
236,2030,2040,CCS1,Alpin,0.0
237,2030,2040,ElectrolysisS,Marseille,0.0
238,2030,2040,ElectrolysisS,Nice,0.0
239,2030,2040,ElectrolysisS,Alpin,0.0
240,2030,2040,Existing SMR,Marseille,0.0
241,2030,2040,Existing SMR,Nice,0.0
242,2030,2040,Existing SMR,Alpin,0.0
243,2030,2040,ElectrolysisL,Marseille,0.0
244,2030,2040,ElectrolysisL,Nice,0.0
245,2030,2040,ElectrolysisL,Alpin,0.0
246,2030,2040,SMR + CCS2,Marseille,0.0
247,2030,2040,SMR + CCS2,Nice,0.0
248,2030,2040,SMR + CCS2,Alpin,0.0
249,2030,2040,Onshore wind,Marseille,0.0
250,2030,2040,Onshore wind,Nice,0.0
251,2030,2040,Onshore wind,Alpin,0.0
252,2030,2020,Offshore wind - floating,Marseille,0.0
253,2030,2020,Offshore wind - floating,Nice,0.0
254,2030,2020,Offshore wind - floating,Alpin,0.0
255,2030,2020,ElectrolysisM,Marseille,0.0
256,2030,2020,ElectrolysisM,Nice,0.0
257,2030,2020,ElectrolysisM,Alpin,0.0
258,2030,2020,CCS2,Marseille,0.0
259,2030,2020,CCS2,Nice,0.0
260,2030,2020,CCS2,Alpin,0.0
261,2030,2020,Ground PV,Marseille,0.0
262,2030,2020,Ground PV,Nice,0.0
263,2030,2020,Ground PV,Alpin,0.0
264,2030,2020,SMR,Marseille,0.0
265,2030,2020,SMR,Nice,0.0
266,2030,2020,SMR,Alpin,0.0
267,2030,2020,SMR + CCS1,Marseille,0.0
268,2030,2020,SMR + CCS1,Nice,0.0
269,2030,2020,SMR + CCS1,Alpin,0.0
270,2030,2020,CCS1,Marseille,0.0
271,2030,2020,CCS1,Nice,0.0
272,2030,2020,CCS1,Alpin,0.0
273,2030,2020,ElectrolysisS,Marseille,0.0
274,2030,2020,ElectrolysisS,Nice,0.0
275,2030,2020,ElectrolysisS,Alpin,0.0
276,2030,2020,Existing SMR,Marseille,0.0
277,2030,2020,Existing SMR,Nice,0.0
278,2030,2020,Existing SMR,Alpin,0.0
279,2030,2020,ElectrolysisL,Marseille,0.0
280,2030,2020,ElectrolysisL,Nice,0.0
281,2030,2020,ElectrolysisL,Alpin,0.0
282,2030,2020,SMR + CCS2,Marseille,0.0
283,2030,2020,SMR + CCS2,Nice,0.0
284,2030,2020,SMR + CCS2,Alpin,0.0
285,2030,2020,Onshore wind,Marseille,0.0
286,2030,2020,Onshore wind,Nice,0.0
287,2030,2020,Onshore wind,Alpin,0.0
288,2030,2030,Offshore wind - floating,Marseille,0.0
289,2030,2030,Offshore wind - floating,Nice,0.0
290,2030,2030,Offshore wind - floating,Alpin,0.0
291,2030,2030,ElectrolysisM,Marseille,0.0
292,2030,2030,ElectrolysisM,Nice,0.0
293,2030,2030,ElectrolysisM,Alpin,0.0
294,2030,2030,CCS2,Marseille,0.0
295,2030,2030,CCS2,Nice,0.0
296,2030,2030,CCS2,Alpin,0.0
297,2030,2030,Ground PV,Marseille,0.0
298,2030,2030,Ground PV,Nice,0.0
299,2030,2030,Ground PV,Alpin,0.0
300,2030,2030,SMR,Marseille,0.0
301,2030,2030,SMR,Nice,0.0
302,2030,2030,SMR,Alpin,0.0
303,2030,2030,SMR + CCS1,Marseille,0.0
304,2030,2030,SMR + CCS1,Nice,0.0
305,2030,2030,SMR + CCS1,Alpin,0.0
306,2030,2030,CCS1,Marseille,0.0
307,2030,2030,CCS1,Nice,0.0
308,2030,2030,CCS1,Alpin,0.0
309,2030,2030,ElectrolysisS,Marseille,0.0
310,2030,2030,ElectrolysisS,Nice,0.0
311,2030,2030,ElectrolysisS,Alpin,0.0
312,2030,2030,Existing SMR,Marseille,0.0
313,2030,2030,Existing SMR,Nice,0.0
314,2030,2030,Existing SMR,Alpin,0.0
315,2030,2030,ElectrolysisL,Marseille,0.0
316,2030,2030,ElectrolysisL,Nice,0.0
317,2030,2030,ElectrolysisL,Alpin,0.0
318,2030,2030,SMR + CCS2,Marseille,0.0
319,2030,2030,SMR + CCS2,Nice,0.0
320,2030,2030,SMR + CCS2,Alpin,0.0
321,2030,2030,Onshore wind,Marseille,0.0
322,2030,2030,Onshore wind,Nice,0.0
323,2030,2030,Onshore wind,Alpin,0.0
